Date,Venue,Race,Length
02/02/2019,Sha Tin,3,1000
02/02/2019,Sha Tin,4,1200
02/02/2019,Sha Tin,5,1400
02/02/2019,Sha Tin,6,1650
02/02/2019,Sha Tin,7,1200
02/02/2019,Sha Tin,8,1650
02/02/2019,Sha Tin,9,1800
02/02/2019,Sha Tin,10,1600
30/01/2019,Happy Valley,1,1200
30/01/2019,Happy Valley,2,1200
30/01/2019,Happy Valley,3,1650
30/01/2019,Happy Valley,4,1200
30/01/2019,Happy Valley,5,1650
30/01/2019,Happy Valley,6,1800
30/01/2019,Happy Valley,7,1000
30/01/2019,Happy Valley,8,1200
27/01/2019,Sha Tin,1,2000
27/01/2019,Sha Tin,2,1000
27/01/2019,Sha Tin,3,1200
27/01/2019,Sha Tin,4,1400
27/01/2019,Sha Tin,5,1200
27/01/2019,Sha Tin,6,1200
27/01/2019,Sha Tin,7,1800
27/01/2019,Sha Tin,8,1600
27/01/2019,Sha Tin,9,1200
27/01/2019,Sha Tin,10,1400
23/01/2019,Happy Valley,1,2200
23/01/2019,Happy Valley,2,1000
23/01/2019,Happy Valley,3,1650
23/01/2019,Happy Valley,4,1200
23/01/2019,Happy Valley,5,1650
23/01/2019,Happy Valley,6,1200
23/01/2019,Happy Valley,7,1800
23/01/2019,Happy Valley,8,1650
20/01/2019,Sha Tin,1,1400
20/01/2019,Sha Tin,2,1600
20/01/2019,Sha Tin,4,1200
20/01/2019,Sha Tin,5,1200
20/01/2019,Sha Tin,6,1600
20/01/2019,Sha Tin,7,1600
20/01/2019,Sha Tin,8,1000
20/01/2019,Sha Tin,9,1400
20/01/2019,Sha Tin,10,1400
16/01/2019,Happy Valley,1,2200
16/01/2019,Happy Valley,2,1000
16/01/2019,Happy Valley,3,1650
16/01/2019,Happy Valley,4,1650
16/01/2019,Happy Valley,5,1200
16/01/2019,Happy Valley,6,1200
16/01/2019,Happy Valley,7,1200
16/01/2019,Happy Valley,8,1650
12/01/2019,Sha Tin,1,1200
12/01/2019,Sha Tin,2,1800
12/01/2019,Sha Tin,3,1200
12/01/2019,Sha Tin,5,1400
12/01/2019,Sha Tin,6,1650
12/01/2019,Sha Tin,7,1800
12/01/2019,Sha Tin,8,1400
12/01/2019,Sha Tin,9,1650
12/01/2019,Sha Tin,10,1200
09/01/2019,Happy Valley,1,1650
09/01/2019,Happy Valley,2,1000
09/01/2019,Happy Valley,3,1200
09/01/2019,Happy Valley,4,1000
09/01/2019,Happy Valley,5,1650
09/01/2019,Happy Valley,6,1800
09/01/2019,Happy Valley,7,1650
09/01/2019,Happy Valley,8,1200
06/01/2019,Sha Tin,1,1200
06/01/2019,Sha Tin,2,1400
06/01/2019,Sha Tin,3,1000
06/01/2019,Sha Tin,4,1200
06/01/2019,Sha Tin,5,1650
06/01/2019,Sha Tin,6,1400
06/01/2019,Sha Tin,7,1200
06/01/2019,Sha Tin,8,1800
06/01/2019,Sha Tin,9,1400
06/01/2019,Sha Tin,10,1600
01/01/2019,Sha Tin,1,1600
01/01/2019,Sha Tin,2,1600
01/01/2019,Sha Tin,3,1200
01/01/2019,Sha Tin,4,1200
01/01/2019,Sha Tin,5,1400
01/01/2019,Sha Tin,6,1200
01/01/2019,Sha Tin,7,1200
01/01/2019,Sha Tin,8,1200
01/01/2019,Sha Tin,9,1400
01/01/2019,Sha Tin,10,1600
29/12/2018,Sha Tin,1,1650
29/12/2018,Sha Tin,2,1200
29/12/2018,Sha Tin,3,1200
29/12/2018,Sha Tin,4,1400
29/12/2018,Sha Tin,5,1000
29/12/2018,Sha Tin,6,1400
29/12/2018,Sha Tin,7,1000
29/12/2018,Sha Tin,8,2000
29/12/2018,Sha Tin,9,1200
29/12/2018,Sha Tin,10,1400
26/12/2018,Happy Valley,1,1650
26/12/2018,Happy Valley,2,1650
26/12/2018,Happy Valley,5,1200
26/12/2018,Happy Valley,6,1200
